Version,PartPrefix,PartBase,PartSuffix,PartRouteNumber,PartRouteStage,TriggerType,Strategy,TagID,ProductionDate,OutOfProductionDate,GeneralInstructions,PlacardInstructions,ExternalSegments,OverShipmentsAllowed,PartialShipmentsAllowed,RequiredDetailShipmentInformation,Hold,Archived,RequestPutAway
4.00.00v,DK62,40406,DA0PEC,24606,Production,Manual,ReorderPoint,,3/20/19 19:05:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,40406,DA0PEC,24609,Production,Manual,ReorderPoint,,11/26/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,6F072,CF,24613,Production,Manual,ReorderPoint,,11/17/16 15:39:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DK62,208A97,AB,24616,Production,Manual,ReorderPoint,,11/26/16 00:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,12A493,AG,24617,Production,Manual,ReorderPoint,,11/26/16 10:05:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,9X2Q,6K733,JB,24626,Production,Manual,ReorderPoint,,11/26/16 08:34:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,14W163,BA,24628,Production,Manual,ReorderPoint,,11/17/16 13:01:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GPLA,6C301,EA,24630,Production,Manual,ReorderPoint,,11/18/16 14:21:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,BH42,8845,AA,24632,Production,Manual,ReorderPoint,,11/17/16 11:32:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GPLA,6B209,CA,24633,Production,Manual,ReorderPoint,,11/28/16 14:19:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,9H2Q,9V442,AC,24634,Production,Manual,ReorderPoint,,11/17/16 07:14:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,6K733,BB,24636,Production,Manual,ReorderPoint,,11/18/16 13:47:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GW93,8620,AA,24638,Production,Manual,ReorderPoint,,11/18/16 14:22:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GX73,8C362,AE,24642,Production,Manual,ReorderPoint,,11/26/16 12:10:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,12A610,BA,24651,Production,Manual,ReorderPoint,,11/17/16 10:08:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,9F472,CC,24652,Out_of_Production,Manual,ReorderPoint,,11/17/16 11:49:00,6/19/18 00:00:00,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,14W163,AA,24655,Production,Manual,ReorderPoint,,11/17/16 10:19:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,19N602,AD,24661,Production,Manual,ReorderPoint,,11/17/16 12:37:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,9F472,CC,24664,Out_of_Production,Manual,ReorderPoint,,11/17/16 11:49:00,6/19/18 00:00:00,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,9X23,6L091,AB,24665,Production,Manual,ReorderPoint,,11/26/16 07:50:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,5H390,AD,24669,Production,Manual,ReorderPoint,,11/17/16 12:39:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,5H390,CD,24671,Production,Manual,ReorderPoint,,11/17/16 12:43:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
